iter	Accuracy	Logloss
420	0.7959396486	0.458415038
421	0.7962243867	0.4582020104
422	0.7962948339	0.4579846513
423	0.7962243867	0.4577873759
424	0.7969406552	0.4575238933
425	0.7977963438	0.4573143774
426	0.7979401873	0.4572188823
427	0.7970815498	0.4570999111
428	0.7973662878	0.4568445938
429	0.7975805786	0.4566653394
430	0.7972928916	0.4564160256
431	0.7976510258	0.4562228016
432	0.7978682656	0.4559159163
433	0.7987239542	0.4556865628
434	0.7984377416	0.4553659974
435	0.79951067	0.455071942
436	0.7990791395	0.4548290141
437	0.79951067	0.4543817287
438	0.7995811172	0.45423511
439	0.8002210406	0.4537786215
440	0.8005102021	0.4535174168
441	0.8007259673	0.4533814418
442	0.8005116765	0.452909342
443	0.8009402581	0.4524929099
444	0.8012969179	0.452312075
445	0.8008683363	0.4521586743
446	0.8012264706	0.4519468348
447	0.8010107054	0.4516101471
448	0.8008683363	0.4514378864
449	0.8010826271	0.451292376
450	0.8012249961	0.4511163949
451	0.8012969179	0.4508908887
452	0.8018693429	0.4506755061
453	0.8016550521	0.4502758022
454	0.8015846049	0.4501616526
455	0.8018693429	0.4500796998
456	0.8020117119	0.4499371434
457	0.8020117119	0.4497993695
458	0.8020836337	0.4497301033
459	0.8022260027	0.4496596035
460	0.8020102375	0.4493995393
461	0.8023698462	0.4490541037
462	0.8025122152	0.4490035396
463	0.802871824	0.4488244938
464	0.803444249	0.4486561109
465	0.803444249	0.4485469671
466	0.80330188	0.4484424585
467	0.8028747729	0.448251167
468	0.8031580365	0.4480710971
469	0.8038023833	0.4478025756
470	0.8041575686	0.4476560008
471	0.8046580719	0.4474889509
472	0.8045861501	0.4473686637
473	0.8039432778	0.4469398029
474	0.8042294903	0.4468375572
475	0.8041590431	0.4466753219
476	0.8045876246	0.4464897062
477	0.8054418387	0.4463427527
478	0.8057310002	0.4460906565
479	0.8058029219	0.4460637457
480	0.8060186872	0.4459153638
481	0.8063738725	0.44564219
482	0.8059467654	0.4455545411
483	0.8059482399	0.4454814589
484	0.8061595817	0.4453252359
485	0.8065191905	0.4451024668
486	0.8066615595	0.4449349615
487	0.8066645085	0.444780359
488	0.8061640052	0.4445646349
489	0.8066615595	0.4443545661
490	0.8068039285	0.4441838535
491	0.8069462975	0.4440875229
492	0.8069462975	0.4440266192
493	0.8068758503	0.443746746
494	0.8075891699	0.4435342636
495	0.8076610916	0.4434548173
496	0.8079458296	0.4430281934
497	0.8075876954	0.4429139612
498	0.8076596171	0.4427923635
499	0.8076596171	0.4427645507
500	0.8075876954	0.4426877519
501	0.8080162769	0.4424080559
502	0.8087340199	0.4421018866
503	0.8088044672	0.4416945584
504	0.8092345232	0.4415733344
505	0.8091640759	0.4414046041
506	0.809448814	0.441252081
507	0.8093754178	0.4411361539
508	0.8093768922	0.4408285538
509	0.8099478428	0.4406073848
510	0.8095926575	0.4404994372
511	0.8096645792	0.4403569256
512	0.8098773955	0.4403113259
513	0.809306445	0.4401521414
514	0.8091640759	0.4399165444
515	0.8088088906	0.4398011771
516	0.809306445	0.4396522044
517	0.8099522662	0.4394588355
518	0.8100916863	0.4393243061
519	0.8103808478	0.4391933512
520	0.8113099326	0.438873537
521	0.8110956418	0.4387859685
522	0.8110956418	0.4387785503
523	0.8110956418	0.438735528
524	0.8112409598	0.438665147
525	0.8118853066	0.4384473278
526	0.8117414631	0.4382963506
527	0.8115271723	0.4378148439
528	0.8120966484	0.4376323963
529	0.812667599	0.4374327853
530	0.812667599	0.4372744214
531	0.8128833642	0.4370844569
532	0.8128818897	0.4367274204
533	0.8134528403	0.4364199267
534	0.8134528403	0.4364073462
535	0.8135232876	0.4362970706
536	0.8139533436	0.4360426006
537	0.8143804506	0.4358852987
538	0.8145228197	0.4357444104
539	0.8143085289	0.4353712078
540	0.8145242941	0.4352285615
541	0.8148090322	0.4350383931
542	0.8145932669	0.4349420958
543	0.8150937702	0.4346750611
544	0.8143070544	0.4343949967
545	0.8148090322	0.4341880482
546	0.8158100388	0.4339638159
547	0.8161666986	0.433654517
548	0.8155267752	0.4335603178
549	0.8160947768	0.4332806317
550	0.8163105421	0.4330803676
551	0.8159553567	0.4328471471
552	0.8165952801	0.4326700361
553	0.8169548888	0.4324605919
554	0.8170282851	0.4322920943
555	0.81645586	0.4319615132
556	0.8174553921	0.4315816613
557	0.8178179498	0.4312306352
558	0.8184593477	0.4309162435
559	0.8184608221	0.4306907064
560	0.8189613254	0.4305414059
561	0.8190332472	0.4304759563
562	0.8189598509	0.4299786334
563	0.8189583765	0.4297617686
564	0.8198140651	0.4295372264
565	0.8190302982	0.4294091482
566	0.8194603542	0.429299962
567	0.8198889358	0.4290909636
568	0.8196761195	0.428984997
569	0.8202455956	0.4286882654
570	0.8204613608	0.4284243187
571	0.8203204663	0.4282957017
572	0.8207475733	0.4280756102
573	0.8208914168	0.4280085502
574	0.8208914168	0.4277909416
575	0.8213933946	0.4275554883
576	0.8218205017	0.4274478204
577	0.8221052397	0.4273476916
578	0.8222446598	0.4270355964
579	0.8225293978	0.4268181732
580	0.8224574761	0.4266548167
581	0.8223855543	0.4264743034
582	0.8227407396	0.4262216709
583	0.8225279233	0.4259422405
584	0.8224560016	0.4259169411
585	0.8224560016	0.4258128135
586	0.8230959249	0.4256183313
587	0.8235215575	0.4254011329
588	0.8237358483	0.425079052
589	0.8240220608	0.4249640284
590	0.824095457	0.4249174027
591	0.8240235353	0.4248484384
592	0.8241673788	0.4246720025
593	0.8244550658	0.4244442645
594	0.824525513	0.4243193952
595	0.8246723055	0.4240744894
596	0.8250289653	0.4237768628
597	0.8257481828	0.4235442605
598	0.8256072882	0.4233592393
599	0.8260329208	0.4232013049
600	0.8263191333	0.4230961715
601	0.8263176589	0.422974221
602	0.8267447659	0.4226987006
603	0.827317191	0.4225039015
604	0.8271748219	0.4223715743
605	0.827317191	0.4222760156
606	0.8275314817	0.4221430936
607	0.827747247	0.4220798498
608	0.827889616	0.4219891856
609	0.8280334595	0.4218030358
610	0.8281787775	0.4215490391
611	0.8280364085	0.4214391813
612	0.8288216498	0.4211418734
613	0.828749728	0.4209618974
614	0.8291783096	0.4207384279
615	0.8291797841	0.4205781993
616	0.8293926003	0.4203434016
617	0.8295349694	0.4202833569
618	0.8296802873	0.4200874524
619	0.8295438162	0.4198347957
620	0.8296172125	0.4195384446
621	0.8299723978	0.4192123307
622	0.8294014472	0.4189318154
623	0.8296891342	0.4187604487
624	0.829615738	0.4185864911
625	0.8301147668	0.4184343278
626	0.829900476	0.4183423049
627	0.830045794	0.418132901
628	0.8302586103	0.4179029852
629	0.8303261086	0.4177091872
630	0.8305418739	0.4176104638
631	0.8304699521	0.417462633
632	0.8305418739	0.4173152651
633	0.831396088	0.4171180736
634	0.8313241662	0.4171075139
635	0.8312522445	0.4169272887
636	0.8314680097	0.4168154813
637	0.8314665352	0.4166801118
638	0.831538457	0.4164848379
639	0.8313256407	0.4163411264
640	0.8320374858	0.4160233719
641	0.8323266473	0.4157944751
642	0.8323266473	0.4157727681
643	0.8321842783	0.4156447849
644	0.8320404348	0.4155451623
645	0.8321842783	0.4154607316
646	0.8328271506	0.4153069118
647	0.8328975978	0.4151600407
648	0.8333981011	0.4150090073
649	0.8332527832	0.4147884691
650	0.8335404702	0.4146231488
651	0.8336828392	0.4144476916
652	0.8333261794	0.4142285603
653	0.8335404702	0.4141053858
654	0.8331133631	0.4139761664
655	0.8338266827	0.413780534
656	0.834039499	0.4136277859
657	0.8345400023	0.413363709
658	0.8344680805	0.4132516199
659	0.834611924	0.4130667083
660	0.8344680805	0.412946819
661	0.8345400023	0.4127961305
662	0.834754293	0.4126172031
663	0.8346823713	0.4125373467
664	0.8349685838	0.4123697649
665	0.8354001143	0.4120209004
666	0.8354001143	0.4119977087
667	0.8353311415	0.4118021187
668	0.8359020921	0.4117027397
669	0.8358301703	0.4115170506
670	0.8357582486	0.4114959392
671	0.8361853556	0.4113319455
672	0.8361134339	0.4111907737
673	0.8356129306	0.4111070251
674	0.8359006176	0.4109383792
675	0.8364011209	0.4107324183
676	0.8363306736	0.4106939957
677	0.8360444611	0.410419499
678	0.8360444611	0.410391979
679	0.8359740138	0.4102409326
680	0.8361178573	0.4100081869
681	0.8364055443	0.4099157826
682	0.8365493878	0.4097466163
683	0.8371188639	0.4096491113
684	0.8372612329	0.4094337816
685	0.8374050764	0.4092787361
686	0.8367636786	0.4091843325
687	0.8373346291	0.4090217996
688	0.8375474454	0.4088912262
689	0.8374769981	0.4085898452
690	0.8377632107	0.4083641681
691	0.8378366069	0.408263141
692	0.8383341612	0.4080892981
693	0.8381169215	0.4079500189
694	0.838403134	0.407656891
695	0.8385469775	0.4075021125
696	0.8387627428	0.4071855426
697	0.8385469775	0.4070425736
698	0.8384750558	0.4068738313
699	0.838690821	0.4065161998
700	0.8391927988	0.4063476109
701	0.8393351678	0.4062666922
702	0.8395524075	0.406197668
703	0.8401218836	0.4059761799
704	0.8399090673	0.4056543935
705	0.8400543853	0.4055051503
706	0.8399105418	0.4053963001
707	0.8401233581	0.4052075575
708	0.8401248326	0.405066753
709	0.8402686761	0.404987862
710	0.8398400945	0.404712563
711	0.839983938	0.4046195606
712	0.839841569	0.4045068012
713	0.8400558598	0.4043362048
714	0.8405548886	0.4041435747
715	0.8406987321	0.4040779652
716	0.8406282848	0.4039635367
717	0.8407706538	0.4039473775
718	0.8410568663	0.4037973396
719	0.8412711571	0.4037110464
720	0.8413416044	0.4036185461
721	0.8412711571	0.4034721823
722	0.8417012131	0.4030760005
723	0.8416292914	0.4028097383
724	0.8416997387	0.4026860909
725	0.8416278169	0.4025685838
