iter	Passed	Remaining
936	34359	2310
937	34396	2273
938	34434	2236
939	34473	2200
940	34506	2163
941	34539	2126
942	34572	2089
943	34605	2052
944	34643	2016
945	34677	1979
946	34716	1942
947	34752	1906
948	34790	1869
949	34828	1833
950	34863	1796
951	34898	1759
952	34936	1722
953	34971	1686
954	35013	1649
955	35048	1613
956	35087	1576
957	35125	1539
958	35166	1503
959	35204	1466
960	35240	1430
961	35273	1393
962	35306	1356
963	35339	1319
964	35381	1283
965	35441	1247
966	35505	1211
967	35542	1174
968	35578	1138
969	35612	1101
970	35646	1064
971	35676	1027
972	35707	990
973	35740	954
974	35774	917
975	35809	880
976	35845	843
977	35880	807
978	35913	770
979	35952	733
980	35988	697
981	36021	660
982	36054	623
983	36087	586
984	36127	550
985	36162	513
986	36197	476
987	36232	440
988	36269	403
989	36303	366
990	36340	330
991	36373	293
992	36406	256
993	36438	219
994	36473	183
995	36511	146
996	36547	109
997	36582	73
998	36617	36
999	36659	0
